All,Toate
"PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","Soluții de plată toate într-unul PayPal&nbsp;&nbsp;<i> Acceptați și procesați cardurile de credit și plățile PayPal.</i>"
"Accept payments with a completely customizable checkout page.","Acceptați plăți cu o pagină de checkout care poate fi personalizată complet."
"Process payments using your own internet merchant account.","Procesați plățile folosind propriul dumneavoastră cont de comerciant pe internet."
"Express Checkout","Checkout Expres"
"Add PayPal as an additional payment method to your checkout page.","Adăugați PayPal ca modalitate suplimentară de plată la pagina dumneavoastră de checkout."
"Required PayPal Settings","Setări Necesare PayPal"
"Email Associated with PayPal Merchant Account (Optional)","Email asociat cu Contul de Comerciant PayPal (Opțional)"
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">începeți acceptarea plăților prin PayPal!</a>"
"Don't have a PayPal account? Simply enter your email address.","Nu aveți un cont PayPal? Introduceți adresa dumneavoatrsă de email aici."
"API Authentication Methods","Modalități autentificare API"
"API Username","Nume utilizator API"
"API Password","Parolă API"
"Get Credentials from PayPal","Obțineți credențiale de la PayPal"
"Sandbox Mode","Mod Sandbox"
"API Uses Proxy","API utilizează Proxy"
"Proxy Host","Gazdă Proxy"
"Proxy Port","Port Proxy"
"Enable this Solution","Activați această soluție"
"Merchant Account ID","ID cont comerciant"
"Enable PayPal Credit","Activați creditul PayPal"
"Advertise PayPal Credit","Promovați Creditul PayPal"
"Publisher ID","ID Editor"
"Required to display a banner","Este necesară afișarea unui banner"
"Get Publisher ID from PayPal","Obțineți ID de Editor de la PayPal"
"Home Page","Pagina Principală"
Display,Afișare
Size,Mărime
"Catalog Category Page","Pagină categorie catalog"
"Catalog Product Page","Pagină produs catalog"
"Checkout Cart Page","Pagină coș de checkout"
"Basic Settings - PayPal Express Checkout","Setări de bază - Checkout Expres PayPal"
Title,Titlu
"It is recommended to set this value to ""PayPal"" per store views.","Se recomandă setarea acestei valori la ""PayPal"" pe vizualizare de magazin."
"Sort Order","sortați comanda"
"Payment Action","Acțiune de plată"
"Display on Product Details Page","Afișați pe pagina de detalii a produsului"
"Authorization Honor Period (days)","Perioadă de onoare autorizație (zile)"
"Order Valid Period (days)","Perioadă validă comandă (zile)"
"Number of Child Authorizations","Număr de autorizații secundare"
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","Numărul implicit de autorizații secundare în contul dumneavoastră PayPal este de 1. Pentru crearea de autorizații multiple, contactați PayPal pentru solicitarea unei creșteri."
"Display on Shopping Cart","Afișați în coșul de cumpărături"
"Also affects mini-shopping cart.","Afectează și mini-coșul de cumpărături."
"Payment Applicable From","Plată aplicabilă din"
"Countries Payment Applicable From",#ERROR!
"Debug Mode","Mod depanare"
"Enable SSL verification","Activați verificarea SSL"
"Transfer Cart Line Items","Transferați articole coș"
"Transfer Shipping Options","Transferați opțiuni de livrare"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Dacă această opțiune este activată, clientul poate schimba adresa și modalitatea de livrare pe website-ul PayPal. în modulul live, funcționează numai prin protocoale HTTPS."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","Observați că PayPal poate suporta până la 10 opțiuni de livrare. De aceea Magento va transfera numai cele mai ieftine 10 opțiuni de livrare, dacă există mai mult de 10 opțiuni disponibile."
"Shortcut Buttons Flavor","Caracteristică buton de scurtătură"
"Enable PayPal Guest Checkout","Activați Checkout Vizitator PayPal"
"Ability for buyer to purchase without PayPal account.","Posibilitatea clientului de a achiziționa fără cont PayPal."
"Require Customer's Billing Address","Solicitați adresa de facturare a clientului."
"This feature needs be enabled first for the merchant account through PayPal technical support.","Această caracteristică trebuie să fie activată întâi pentru contul comerciantului prin suport tehnic PayPal."
"Billing Agreement Signup","înscriere pentru acord de facturare"
"Whether to create a billing agreement, if there are no active billing agreements available.","Se poate crea un acord de facturare dacă nu sunt acorduri active de facturare disponibile."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Comercianții trebuie să aplice pentru PayPal pentru activarea caracteristicii de acorduri de facturare. Nu activați această opțiune înainte ca PayPal să confirme că acordurile de facturare sunt activate pentru contul dumneavoastră de comerciant."
"Skip Order Review Step","Omiteți pasul de Revizuire Comandă"
"PayPal Billing Agreement Settings","Setări Acord de Facturare PayPal"
Enabled,Activat
"Will appear as a payment option only for customers who have at least one active billing agreement.","Va apărea ca opțiune de plată numai pentru clienții care au cel puțin un acord activ de facturare."
"Allow in Billing Agreement Wizard","Permiteți expertiză acord de facturare"
"Settlement Report Settings","Setări Raport de Reglementare"
"SFTP Credentials","Credențiale SFTP"
Login,Conectare
"Custom Endpoint Hostname or IP-Address","Nume gazdă punct final personalizat sau Adresă IP"
"By default it is ""reports.paypal.com"".","Implicit este ""reports.paypal.com""."
"Use colon to specify port. For example: ""test.example.com:5224"".","Utilizați coloana pentru specificarea portului. De exemplu: ""test.example.com:5224""."
"Custom Path","Cale personalizată"
"Scheduled Fetching","Accesare programată"
"Enable Automatic Fetching","Activați accesare programată"
Schedule,Program
"PayPal retains reports for 45 days.","PayPal stochează rapoartele pentru 45 de zile."
"Time of Day","Perioada din zi"
"Frontend Experience Settings","Setări experiență interfață"
"PayPal Product Logo","Logo produs PayPal"
"Displays on catalog pages and homepage.","Afișări pe paginile de catalog și pagina principală."
"PayPal Merchant Pages Style","Stil pagini comerciant PayPal"
"Page Style","Stil pagină"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Valori admise: ""paypal"", ""primary"" (default), your_custom_value (un stil de pagină de plată personalizat din profilul contului de comerciant)."
"Header Image URL","URL Imagine Antet"
"Header Background Color","Culoare fundal antet"
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","Culoarea de fundal pentru antetul de pe pagina de checkout. Cod culoare hexazecimal HTML de 6 cifre și majuscule în ASCII."
"Header Border Color","Culoare chenar antet"
"2-pixel perimeter around the header space.","Perimetru de 2-pixeli în jurul spațiului de antet."
"Page Background Color","Culoare fundal pagină"
"The background color for the checkout page around the header and payment form.","Culoare fundal pentru pagina de checkout în jurul antetului și formularului de plată."
Layout,Aspect
"Payments Advanced and Express Checkout","Plăți avansate și Checkout Expres"
Partner,Partener
Vendor,Furnizor
User,Utilizator
"PayPal recommends that you set up an additional User on your account at manager.paypal.com","PayPal recomandă înscrierea unui utilizator suplimentar pe contul dumneavoastră la manager.paypal.com"
"PayPal recommends you set up an additional User on your account at manager.paypal.com, instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User, you can re-enter your Merchant Login here.","PayPal recomandă înscrierea unui utilizator suplimentar pe contul dumneavoastră la manager.paypal.com, în locul introducerii unui nume de utilizator cu drepturi de administrator și parolă aici. Acest lucru va spori securitatea dumneavoastră și va preveni întreruperile serviciului dacă vă schimbați parola ulterior. Dacă nu doriți să înscrieți un utilizator suplimentar, puteți reintroduce datele de conectare comerciant aici."
"Test Mode","Mod test"
"Use Proxy","Utilizați Proxy"
"Basic Settings - PayPal Payments Advanced","Setări de bază - Plăți avansate PayPal"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","Se recomandă să setați valoarea la ""Card de Credit sau Debit"" pe vizualizare de magazin."
"CVV Entry is Editable","Intrarea CVV este editabilă"
"Require CVV Entry","Silicitați intrare CVV"
"Send Email Confirmation","Trimiteți Email de confirmare"
"URL method for Cancel URL and Return URL","Modalitate URL pentru Anulare URL și Restituire URL"
"Payflow Link and Express Checkout","Link Debit de Plată și Checkout Expres"
"If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here.","Dacă aveți utilizatori multipli încriși pe contul dumneavoastră, reintroduceți datele de conectare la contul de Furnizor/Comerciant aici."
"Enable Payflow Link","Activați link-ul Debit de Plată"
"Enable Express Checkout","Activați Checkout Expres"
"Basic Settings - PayPal Payflow Link","Setări de bază - Link Debit de Plată PayPal"
"Website Payments Pro Hosted Solution","Soluție Plăți Pro Găzduite Website"
"Payments Pro Hosted Solution","Plăți Website Pro Găzduite"
"Basic Settings - PayPal Payments Pro Hosted Solution","Setări de bază - Soluție PayPal Plăți Pro Găzduite"
"Display Express Checkout in the Payment Information step","Afișați Checkout Expres în pasul de Informații Plată"
"Website Payments Pro Hosted Solution and Express Checkout","Soluție Plăți Pro Găzduite Website și Checkout Expres"
"Basic Settings - PayPal Website Payments Pro Hosted Solution","Setări de bază - Soluție PayPal de Plăți Pro Găzduite Website"
"Payflow Pro","Pro Debit de Plată"
"Basic Settings - PayPal Payflow Pro","Setări de bază - Pro Debit de Plată PayPal"
"Credit Card Settings","Setări Card de Credit"
"Allowed Credit Card Types","Tipuri Card de Credit permise"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Acceptarea cardurilor American Express necesită un acord suplimentar. Mai multe detalii la <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"CVV and AVS Settings","Setări CVV și AVS"
"Reject Transaction if:","Refuzați tranzacția dacă:"
"AVS Street Does Not Match","Strada AVS nu coincide"
"AVS Zip Does Not Match","Codul AVS nu coincide"
"Card Security Code Does Not Match","Codul de securitate al cardului nu coincide"
"Payflow Pro and Express Checkout","Pro Debit de plată și Checkout Expres"
"Credit Memos","Note credit"
Invoices,Facturi
"We can't get the order instance right now.","Nu putem obține instanța comenzii momentan."
"Create New Order","Creați Comandă nouă"
"Save Order Address","Salvați adresă comandă"
Shipping,Livrare
Billing,Facturare
"Edit Order %1 %2 Address","Editare adresă comandă %1 %2"
"Order Address Information","Informații adresă comandă"
"Please correct the parent block for this block.","Corectați blocul de bază pentru acest bloc."
"Submit Comment","Trimite comentariu"
"Submit Order","Trimite comandă"
"Are you sure you want to cancel this order?","Sunteți sigur că doriți să anulați această comandă?"
"Order Comment","Comentariu comandă"
Coupons,Cupoane
"Please select a customer","Selectați un client"
From,"De la"
To,Către
"Edit Order #%1","Editare comandă #%1"
"Create New Order for %1 in %2","Creare comandă nouă pentru %1 în %2"
"Create New Order for %1","Creare comandă nouă pentru %1"
"Create New Order for New Customer","Creare comandă nouă pentru client nou"
"Items Ordered","Articol comandat"
"This product is disabled.","Acest produs este dezactivat."
"Buy %1 for price %2","Cumpără %1 la prețul de %2"
"Item ordered qty","Cantitate comandată articol"
"%1 with %2 discount each","%1 cu %2 reducere fiecare"
"%1 for %2","%1 cu %2"
"* - Enter custom price including tax","* - Introduceți prețul personalizat incluzând taxele"
"* - Enter custom price excluding tax","* - Introduceți prețul personalizat excluzând taxele"
"This product does not have any configurable options","Acest produs nu are nici o opțiune de configurare"
"Newsletter Subscription","Abonare Buletin informativ"
"Please select products","Selectați produse"
"Add Selected Product(s) to Order","Adăugați produsele selectate la Comandă"
Select,Selectare
"Update Changes","Actualizare modificări"
"Are you sure you want to delete all items from shopping cart?","Sunteți sigur că doriți să ștergeți toate articolele din coșul de cumpărături?"
"Clear Shopping Cart","Golește coșul de cumpărături"
"Products in Comparison List","produse în lista de comparare"
"Recently Compared Products","Produse comparate recent"
"Recently Viewed Products","Produse vizualizate recent"
"Last Ordered Items","Ultimele articole comandate"
"Recently Viewed","Recent vizualizate"
"Wish List","Listă de dorințe"
"Please select a store","Selectați un magazin"
"Order Totals","Total comenzi"
"Shipping Incl. Tax (%1)","Livrare cu taxe incluse(%1)"
"Shipping Excl. Tax (%1)","Livrare fără taxe incluse (%1)"
"New Credit Memo for Invoice #%1","Notă credit nouă pentru Factura #%1"
"New Credit Memo for Order #%1","Notă credit nouă pentru Comanda #%1"
"Refund Shipping (Incl. Tax)","Restituire livrare (taxe incluse)"
"Refund Shipping (Excl. Tax)","Restituire livrare (fără taxe incluse)"
"Refund Shipping","Restituire livrare"
"Update Qty's","Actualizează cantități"
Refund,Restituire
"Refund Offline","Restituire Offline"
"Paid Amount","Suma plătită"
"Refund Amount","Restituire sumă"
"Shipping Amount","Cantitate livrare"
"Shipping Refund","Restituire livrare"
"Order Grand Total","Total dgeneral Comandă"
"Adjustment Refund","Restituire ajustare"
"Adjustment Fee","Taxă ajustare"
"Send Email","Trimite email"
"Are you sure you want to send a credit memo email to customer?","Sunteți sigur că doriți să trimiteți un email cu o notă de credit clientului?"
Print,Printare
"The credit memo email was sent.","Email-ul cu nota de credit a fost trimis."
"The credit memo email wasn't sent.","Email-ul cu nota de credit nu a fost trimis."
"Credit Memo #%1 | %3 | %2 (%4)","Notă credit #%1 | %3 | %2 (%4)"
"Total Refund","Total restituire"
"New Invoice and Shipment for Order #%1","Fatură și livrare nouă pentru Comanda #%1"
"New Invoice for Order #%1","Factură nouă pentru Comanda #%1"
"Submit Invoice and Shipment","Trimite factură și livrare"
"Submit Invoice","Trimite factură"
"Are you sure you want to send an invoice email to customer?","Sunteți sigur că doriți să trimiteți un email de facturare clientului?"
"Credit Memo","Notă credit"
Capture,Captură
"The invoice email was sent.","Email-ul de facturare a fost trimis."
"The invoice email wasn't sent.","Email-ul de facturare nu a fost trimis."
"Invoice #%1 | %2 | %4 (%3)","Factura #%1 | %2 | %4 (%3)"
"Invalid parent block for this block","Bloc de bază nevalid pentru acest bloc."
"Order Statuses","Statusuri Comandă"
"Create New Status","Creați status nou"
"Assign Status to State","Atribuie status la țară"
"Save Status Assignment","Salvați statusul atribuirii."
"Assign Order Status to State","Atribuiți statusul de comandă țării"
"Assignment Information","Informații atribuire"
"Order State",#ERROR!
"Use Order Status As Default","Folosiți statusul comenzii ca implicit"
"Visible On Storefront","Vizibil în vitrină"
"Edit Order Status","Editare status comandă"
"Save Status","salvează status"
"New Order Status","Status comandă nou"
"Order Status Information","Informații status comandă"
"Status Code","Cod status"
"Status Label","Etichetă status"
"Store View Specific Labels","Etichete specifice vizualizare magazin"
"Total Paid","Total plătit"
"Total Refunded","Total restituit"
"Are you sure you want to send an order email to customer?","Sunteți sigur că doriți să trimiteți un email de comandă clientului?"
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","Aceasta va crea o restituire offline. Pentru a crea o restituire online, deschideți o factură și creațio notă de credit pentru aceasta. Doriți să continuați?"
"Are you sure you want to void the payment?","Sunteți sigur că doriți să anulați plata?"
Hold,Reținere
hold,reținere
Unhold,"Eliminare reținere"
unhold,"Eliminare reținere"
"Are you sure you want to accept this payment?","Sunteți sigur că doriți să acceptați această plată"
"Accept Payment","Acceptare plată"
"Are you sure you want to deny this payment?","Sunteți sigur că doriți să refuzați această plată?"
"Deny Payment","Refuzare plată"
"Get Payment Update","Primește actualizare plată"
"Invoice and Ship","Facturare și livrare"
Invoice,Facturate
Ship,Livrați
Reorder,"Comandați din nou"
"Order # %1 %2 | %3","Comanda # %1 %2 | %3"
"Save Gift Message","Salvare Mesaj Cadou"
"Order Credit Memos","Note credit comandă"
"Credit memo #%1 created","Notă credit #%1 creată"
"Credit memo #%1 comment added","Notă credit #%1 comentariu adăugat"
"Shipment #%1 created","Livrare #%1 creată"
"Shipment #%1 comment added","Livrare #%1 comentariu adăugat"
"Invoice #%1 created","Factură #%1 creată"
"Invoice #%1 comment added","Factură #%1 comentariu adăugat"
"Tracking number %1 for %2 assigned","Număr urmărire comandă %1 for %2 atribuit"
"Comments History","Istoric comentarii"
"Order History","Istoric comenzi"
Information,Informații
"Order Information","Informații comenzi"
"Order Invoices","Facturi comenzi"
Shipments,Livrări
"Order Shipments","Livrări comenzi"
Transactions,Tranzacții
"Order View","Vizualizare comandă"
Any,Oricare
Specified,Specificat
"Applies to Any of the Specified Order Statuses except canceled orders","Se aplică la oricare din statusurile de comandă specificate, exceptând comenzile anulate"
"Cart Price Rule","Regulă Preț Coș"
"Show Actual Values","Afișare valori actuale"
"New Order RSS","RSS Comandă nou"
"Discount (%1)","Reducere (%1)"
Discount,Reducere
"Shipping & Handling","Livrare și manipulare"
"Grand Total","Total general"
"Transaction # %1 | %2","Tranzacție # %1 | %2"
Key,Cheie
Value,Valoare
"We found an invalid entity model.","S-a găsit un model de entitate nevalid."
"Order # %1","Comanda # %1"
"Back to My Orders","înapoi la Comenzile Mele"
"View Another Order","Vizualizare altă comandă"
"About Your Refund","Despre restituirea dumneavoastră"
"You have placed no orders.","Nu ați plasat nici o comandă."
"Subscribe to Order Status","Abonare la Status Comandă"
"About Your Invoice","Despre factura dumneavoastră"
"Print Order # %1","Printare comandă # %1"
"Shipping & Handling (%1)","Livrare și manipulare(%1)"
"Grand Total to be Charged","Total general de încasat"
Unassign,"Anulare atribuire"
"You sent the message.","Ați trimis mesajul."
"Invoice capturing error","Eroare captare factură."
"This order no longer exists.","Această comandă nu mai există."
"We cannot add order history.","Nu se poate adăuga istoricul comenzii."
"You updated the order address.","Ați actualizat adresele de comandă."
"We can't update the order address right now.","Adresa de comandă nu poate fi actualizată momentan."
"You have not canceled the item.","Nu ați anulat articolul."
"You canceled the order.","Ați anulat articolul."
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","Codul de cupon ""%1"" nu a fost aplicat. Este selectată opțiunea Nu aplicați reducere pentru aceste articole."
"The coupon code has been accepted.","Codul de cupon a fost acceptat."
"New Order","Comandă nouă"
"You created the order.","Ați salvat comanda"
"Order saving error: %1","Eroare salvare comandă: %1"
"Cannot add new comment.","Nu se poate adăuga un comentariu nou."
"The credit memo has been canceled.","Nota de credit a fost anulată."
"Credit memo has not been canceled.","Nota de credit nu a fost anulată."
"New Memo for #%1","Notă nouă pentru #%1"
"New Memo","Notă nouă"
"The credit memo's total must be positive.","Totalul notelor de credit trebuie să aibă valoare pozitivă."
"Cannot create online refund for Refund to Store Credit.","Nu se poate crea restituire online pentru restituirea la credit de magazin"
"You created the credit memo.","Ați creat nota de credit."
"We can't save the credit memo right now.","Această notă de credit nu poate fi salvată momentan."
"We can't update the item's quantity right now.","Cantitatea articolului nu poate fi actualizată momentan."
"View Memo for #%1","Vizualizare notă pentru #%1"
"View Memo","Vizualizare notă"
"You voided the credit memo.","Ați anulat nota de credit."
"We can't void the credit memo.","Nota de credit nu poate fi anulată."
"The order no longer exists.","Comanda nu mai există."
"We can't create credit memo for the order.","Nu se poate crea notă de credit pentru comandă."
"Edit Order","Editare comandă"
"You sent the order email.","Ați trimis email-ul de comandă."
"We can't send the email order right now.","Nu puteți trimite email-ul de comandă momentan."
"You have not put the order on hold.","Nu ați pus comanda în așteptare."
"You put the order on hold.","Ați pus comanda în așteptare."
"You canceled the invoice.","Ați anulat factura."
"Invoice canceling error","Eroare anulare factură"
"The invoice has been captured.","Factura a fost captată."
"The order does not allow an invoice to be created.","Comanda nu permite crearea unei facturi."
"New Invoice","Factură nouă."
"We can't send the invoice email right now.","Nu se poate trimite email-ul de facturare momentan."
"We can't send the shipment right now.","Nu se poate face livrarea în acest moment."
"You created the invoice and shipment.","Ați creat factura și livrarea."
"The invoice has been created.","Factura a fost creată."
"Cannot update item quantity.","Nu se poate actualiza cantitatea articolului."
"The invoice has been voided.","Factura a fost anulată."
"Invoice voiding error","Eroare anulare factură"
"%1 order(s) cannot be canceled.","Comenzile %1 nu pot fi anulate."
"You cannot cancel the order(s).","Nu puteți anula comenzile."
"We canceled %1 order(s).","S-au anulat %1 comenzile."
"%1 order(s) were not put on hold.","%1 comenzi au fost puse în așteptare."
"No order(s) were put on hold.","Nici o comandă nu a fost pusă în așteptare."
"You have put %1 order(s) on hold.","Ați pus %1 comenzi în așteptare."
"%1 order(s) were not released from on hold status.","%1 comenzi nu au fost deblocate din statusul în așteptare."
"No order(s) were released from on hold status.","Nici o comandă nu a fost deblocată din statusul în așteptare."
"%1 order(s) have been released from on hold status.","%1 comenzi au fost deblocate din statusul în așteptare."
"There are no printable documents related to selected orders.","Nu există nici un document printabil asociat cu comenzile selectate."
"The payment has been accepted.","Plata a fost acceptată."
"The payment has been denied.","Palata a fost refuzată."
"Transaction has been approved.","Tranzacția a fost aprobată."
"Transaction has been voided/declined.","tranzacția a fost anulată/refuzată."
"There is no update for the transaction.","Nu există nici o actualizare pentru tranzacție."
"We can't update the payment right now.","Nu se poate actualiza plata în acest moment."
"You assigned the order status.","Ați atribuit statusul comenzii."
"Something went wrong while assigning the order status.","A avut loc o eroare la atribuirea statusului comenzii."
"We can't find this order status.","Nu se poate găsi acest status de comandă."
"Create New Order Status","Creare status comandă nou."
"We found another order status with the same order status code.","S-a găsit un alt status de comandă cu același cod de status de comandă."
"You saved the order status.","Ați salvat statusul comenzii."
"We can't add the order status right now.","Nu se poate adăuga statusul comenzii în acest moment."
"You have unassigned the order status.","Ați anulat statusul comenzii."
"Something went wrong while unassigning the order.","A avut loc o eroare la anularea statusului comenzii."
"Can't unhold order.","Comanda nu poate fi pusă în așteptare."
"You released the order from holding status.","Ați deblocat comanda din statusul în așteptare."
"The order was not on hold.","Comanda nu a fost în așteptare."
"Exception occurred during order load","Excepția a avut loc în timpul încărcării comenzii."
"Something went wrong while saving the gift message.","A avut loc o eroare la salvarea mesajului-cadou."
"You saved the gift card message.","Ați salvat mesajul cardului-cadou."
"The payment has been voided.","Plata a fost anulată."
"We can't void the payment right now.","Plata nu poate fi anulată momentan."
"Please correct the transaction ID and try again.","Corectați Id-ul tranzacției și încercați din nou."
"The transaction details have been updated.","Detaliile tranzacției au fost actualizate."
"We can't update the transaction details.","Detaliile tranzacției nu pot fi actualizate."
"Orders and Returns","Comenzi și Retururi"
Home,"Pagina principală"
"Go to Home Page","Mergeți la pagina principală"
"You entered incorrect data. Please try again.","Ați introdus informații incorecte. încercați din nou."
"We can't find this wish list.","Nu se poate găsi această listă de dorințe."
"We could not add a product to cart by the ID ""%1"".","Nu se poate adăuga un produs la coș cu ID-ul ""%1""."
"There is an error in one of the option rows.","A avut loc o eroare într-unul din rândurile de opțiuni."
"Please specify order items.","Specificați articolele comenzii."
"This payment method is not available.","Această modalitate de plată nu este disponibilă."
"Validation is failed.","Validarea a eșuat."
"You did not email your customer. Please check your email settings.","Nu ați trimis email clientului dumneavoastră. Verificați setările email-ului."
"Path ""%1"" is not part of allowed directory ""%2""","Calea ""%1"" nu face parte din registrul acceptat ""%2"""
"Identifying Fields required","Câmpuri de identificare sunt necesare"
"A hold action is not available.","Acțiunea de punere în așteptare nu este disponibilă."
"You cannot remove the hold.","Nu puteți elimina așteptarea."
Guest,Vizitator
"Please enter the first name.","Introduceți prenumele."
"Please enter the last name.","Introduceți numele"
"Please enter the street.","Introduceți strada."
"Please enter the city.","Introduceți orașul"
"Please enter the phone number.","Introduceți numărul de telefon."
"Please enter the zip/postal code.","Introduceți codul poștal."
"Please enter the country.","Introduceți țara."
Pending,"în așteptare"
Refunded,Restituit
"Unknown State","Stat necunoscut"
"We found an invalid quantity to refund item ""%1"".","S-a găsit o cantitate nevalidă pentru restituirea articolului ""%1""."
"Maximum shipping amount allowed to refund is: %1","Suma maximă de livrare acceptată pentru restituire este: %1"
"The most money available to refund is %1.","Suma maximă disponibilă pentru retituire este de %1."
"This order already has associated customer account","Această comandă are deja asociat un cont de client."
Paid,Plătit
"We cannot register an existing invoice","Nu se pate înregistra o factură existentă."
"Unknown Status","Status necunoscut"
Ordered,Comandat
Shipped,Livrat
Invoiced,Facturat
Backordered,"Comandă în așteptare"
Returned,Restituit
Partial,Parțial
Mixed,Mixt
"Registered a Void notification.","S-a înregistrat o notificare anulată."
"If the invoice was created offline, try creating an offline credit memo.","Dacă factura a fost creată offline, încercați crearea unei note de credit offline."
"We refunded %1 online.","S-a restituit %1 online."
"We refunded %1 offline.","S-a restituit %1 offline."
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo.","IPN ""Restituit"". Restituire efectuată de către comerciant. Notificare înregistrată despre suma restituită de %1. ID tranzacție: ""%2"". Nota de credit nu a fost creată. Creați o notă de credit offline."
"The credit memo has been created automatically.","Nota de credit a fost creată în mod automat."
"Registered notification about refunded amount of %1.","Notificare înregistrată despre suma restituită de %1."
"Canceled order online","Comandă anulată online"
"Canceled order offline","Comandă anulată offline"
"Approved the payment online.","Plată aprobată online."
"There is no need to approve this payment.","Nu este necesară aprobarea acestei plăți."
"Denied the payment online","Plata online a fost refuzată"
"Registered update about approved payment.","Actualizare înregistrată despre plata aprobată."
"Registered update about denied payment.","Actualizare înregistrată despre plata refuzată."
"There is no update for the payment.","Nu există nici o actualizare pentru plată."
"Voided authorization.","Autorizație anulată."
"Amount: %1.","Suma: %1."
"Transaction ID: ""%1""","ID tranzacție: ""%1"""
"The payment method you requested is not available.","Modalitatea de plată solicitată nu este disponibilă."
"The payment disallows storing objects.","Plata interzice stocarea obiectelor."
"The transaction ""%1"" cannot be captured yet.","Tranzacția ""%1"" nu poate fi captată încă."
"The parent transaction ID must have a transaction ID.","ID-ul de tranzacție principal trebuie să aibă un ID de tranzacție."
"Payment transactions disallow storing objects.","Tranzacțiile de plată interzic stocarea obiectelor."
"The transaction ""%1"" (%2) is already closed.","Tranzacția ""%1"" (%2) este deja încheiată."
"Set order for existing transactions not allowed","Nu este permisă setarea unei comenzi pentru tranzacțiile existente."
"At minimum, you need to set a payment ID.","Trebuie să setați cel putin un ID de plată."
"We found an unsupported transaction type ""%1"".","S-a găsit un tip de tranzacție neacceptat ""%1""."
"Please set a proper payment and order id.","Setați un ID de plată și comandă potrivit."
"Please enter a Transaction ID.","Introduceți un ID de tranzacție."
"You can't do this without a transaction object.","Nu putem face această operațiune fără un obiect de tranzacție."
"Sold to:","Vândut către:"
"Ship to:","Livrare la:"
"Shipping Method:","Modalitate de livrare:"
"Total Shipping Charges","Total taxe de livrare"
Number,Număr
"We found an invalid renderer model.","S-a găsit un model de redare nevalid."
"Please define the PDF object before using.","Definiți obiectul PDF înainte de utilizare."
"We don't recognize the draw line data. Please define the ""lines"" array.","Informațiile draw line nu sunt recunoscute. Definiți matricea ""linii""."
Tax,Taxe
"The order object is not specified.","Obiectul comenzii nu este specificat."
"The source object is not specified.","Obiectul sursă nu este specificat."
"An item object is not specified.","Un obiect de articol nu este specificat."
"A PDF object is not specified.","Un obiect PDF nu este specificat."
"A PDF page object is not specified.","Un obiect pagină PDF nu este specificat."
"Excl. Tax","Cără taxe incluse"
"The PDF total model %1 must be or extend \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal.","Un model total PDF %1 trebuie să existe sau să se extindă la \Magento\Vânzări\Model\Comandă\Pdf\Total\TotalImplicit."
"We cannot register an existing shipment","Nu se poate înregistra o livrare deja existentă."
"Please enter a tracking number.","Introduceți un număr de urmărire al comenzii."
"The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal.","Un model total ar trebui extins de la \Magento\Vânzări\Model\Comandă\Total\TotalAbstract."
"We cannot determine the field name.","Nu se poate stabili numele câmpului."
"We don't have enough information to save the parent transaction ID.","Nu există informații suficiente pentru a salva ID-ul de tranzacție de principal."
"We cannot create an empty shipment.","Nu se poate crea o livrare nulă."
"New Orders",Comenzi
"Order #%1 created at %2","Comanda #%1 creată la %2"
"Details for %1 #%2","Detalii pentru %1 #%2"
"Notified Date: %1","Dată notificare: %1"
"Comment: %1<br/>","Comentariu: %1<br/>"
"Current Status: %1<br/>","Status curent: %1<br/>"
"Order # %1 Notification(s)","Comanda # %1 Notificări"
"You can not cancel Credit Memo","Nu puteți anula o Notă de Credit"
"We cannot register an existing credit memo.","Nu se poate înregistra o notă de credit deja existentă."
"We found an invalid quantity to invoice item ""%1"".","S-a găsit o cantitate nevalidă pentru articolul comandat ""%1""."
"The Order State ""%1"" must not be set manually.","Statul pentru comandă ""%1"" trebuie setat manual."
